Assignment,Activities,Date,Time,Action
131786,Spr 25 CoT Form B1,05/09/2025,10:29:37,Begin activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/09/2025,10:29:37,Page 1 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:29:43,Page next clicked on page 1
131786,Spr 25 CoT Form B1,05/09/2025,10:29:44,Page 2 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:29:49,Page next clicked on page 2
131786,Spr 25 CoT Form B1,05/09/2025,10:29:49,Page 3 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:31:15,Page next clicked on page 3
131786,Spr 25 CoT Form B1,05/09/2025,10:31:17,Page 4 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:33:33,Page next clicked on page 4
131786,Spr 25 CoT Form B1,05/09/2025,10:33:37,Page 5 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:34:16,Page next clicked on page 5
131786,Spr 25 CoT Form B1,05/09/2025,10:34:17,Page 6 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,10:46:00,Page next clicked on page 6
131786,Spr 25 CoT Form B1,05/09/2025,10:46:04,Missing answers
131786,Spr 25 CoT Form B1,05/09/2025,10:46:13,Page next clicked on page 6
131786,Spr 25 CoT Form B1,05/09/2025,10:46:16,Page 7 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,11:09:54,Page next clicked on page 7
131786,Spr 25 CoT Form B1,05/09/2025,11:09:55,Page 8 Loaded
131786,Spr 25 CoT Form B1,05/09/2025,11:10:03,Page next clicked on page 8
131786,Spr 25 CoT Form B1,05/09/2025,11:10:04,Page 9 Loaded
131786,Spr 25 CoT Form B1,05/13/2025,11:35:52,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/13/2025,11:35:52,Page 9 Loaded
131786,Spr 25 CoT Form B1,05/13/2025,11:35:56,Page next clicked on page 9
131786,Spr 25 CoT Form B1,05/13/2025,11:35:56,Missing answers
131786,Spr 25 CoT Form B1,05/13/2025,11:38:50,Page next clicked on page 9
131786,Spr 25 CoT Form B1,05/13/2025,11:38:50,Missing answers
131786,Spr 25 CoT Form B1,05/13/2025,11:40:13,Pause activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/13/2025,11:40:16,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/13/2025,11:40:16,Page 9 Loaded
131786,Spr 25 CoT Form B1,05/15/2025,11:27:58,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/15/2025,11:27:59,Page 9 Loaded
131786,Spr 25 CoT Form B1,05/15/2025,11:36:30,Page next clicked on page 9
131786,Spr 25 CoT Form B1,05/15/2025,11:36:32,Page 10 Loaded
131786,Spr 25 CoT Form B1,05/15/2025,11:36:39,Page next clicked on page 10
131786,Spr 25 CoT Form B1,05/15/2025,11:36:40,Page 11 Loaded
131786,Spr 25 CoT Form B1,05/15/2025,11:36:59,Page next clicked on page 11
131786,Spr 25 CoT Form B1,05/15/2025,11:37:01,Page 12 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,8:19:32,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,8:19:33,Page 12 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:09:41,Page 12 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:12:18,Pause activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,9:12:20,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,9:12:20,Page 12 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:12:50,Page next clicked on page 12
131786,Spr 25 CoT Form B1,05/19/2025,9:12:51,Page 13 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:17:17,Page next clicked on page 13
131786,Spr 25 CoT Form B1,05/19/2025,9:17:26,Page 14 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:17:40,Wrong page
131786,Spr 25 CoT Form B1,05/19/2025,9:17:40,Page 5 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:17:48,Page 14 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:34:46,Page next clicked on page 14
131786,Spr 25 CoT Form B1,05/19/2025,9:34:47,Page 15 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:41:03,Page next clicked on page 15
131786,Spr 25 CoT Form B1,05/19/2025,9:41:06,Page 16 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:41:50,Page next clicked on page 16
131786,Spr 25 CoT Form B1,05/19/2025,9:41:51,Page 17 Loaded
