Activities,level_1,Duration
Spr 25 CoT Form A1,Mean,0 days 00:31:11.111111111
Spr 25 CoT Form A1,SD,0 days 00:30:55.257098514
Spr 25 CoT Form A1,Min,0 days 00:02:17
Spr 25 CoT Form A1,Max,0 days 02:23:40
Spr 25 CoT Form A1,Median,0 days 00:26:16
Spr 25 CoT Form A1,n,36
Spr 25 CoT Form A1,P25,0 days 00:08:20.750000
Spr 25 CoT Form A1,P75,0 days 00:37:59
Spr 25 CoT Form A1,P90,0 days 01:10:23.500000
Spr 25 CoT Form A1r,Mean,0 days 00:34:43.678571428
Spr 25 CoT Form A1r,SD,0 days 00:22:43.398532903
Spr 25 CoT Form A1r,Min,0 days 00:05:59
Spr 25 CoT Form A1r,Max,0 days 01:50:54
Spr 25 CoT Form A1r,Median,0 days 00:36:34.500000
Spr 25 CoT Form A1r,n,28
Spr 25 CoT Form A1r,P25,0 days 00:15:37.500000
Spr 25 CoT Form A1r,P75,0 days 00:46:20.750000
Spr 25 CoT Form A1r,P90,0 days 00:55:55.600000
Spr 25 CoT Form B1,Mean,0 days 00:28:48.431818181
Spr 25 CoT Form B1,SD,0 days 00:34:06.999226295
Spr 25 CoT Form B1,Min,0 days 00:05:26
Spr 25 CoT Form B1,Max,0 days 03:49:04
Spr 25 CoT Form B1,Median,0 days 00:22:58
Spr 25 CoT Form B1,n,44
Spr 25 CoT Form B1,P25,0 days 00:09:25.750000
Spr 25 CoT Form B1,P75,0 days 00:39:16.250000
Spr 25 CoT Form B1,P90,0 days 00:42:15.600000
Spr 25 CoT Form B1r,Mean,0 days 00:32:47.175000
Spr 25 CoT Form B1r,SD,0 days 00:42:26.881732301
Spr 25 CoT Form B1r,Min,0 days 00:03:50
Spr 25 CoT Form B1r,Max,0 days 04:20:19
Spr 25 CoT Form B1r,Median,0 days 00:24:46
Spr 25 CoT Form B1r,n,40
Spr 25 CoT Form B1r,P25,0 days 00:06:49.250000
Spr 25 CoT Form B1r,P75,0 days 00:38:43
Spr 25 CoT Form B1r,P90,0 days 01:03:11.100000
