Assignment,Activities,Date,Time,Action
131573,Fall24 DDM MS Form A,04/29/2025,10:41:51.174,Begin activity Spring 2025 MS DDM Administration
131573,Fall24 DDM MS Form A,04/29/2025,10:41:52.162,Page 1 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:41:56.722,Page next clicked on page 1
131573,Fall24 DDM MS Form A,04/29/2025,10:41:57.557,Page 2 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:41:59.743,Page next clicked on page 2
131573,Fall24 DDM MS Form A,04/29/2025,10:41:59.896,Missing answers
131573,Fall24 DDM MS Form A,04/29/2025,10:42:08.217,Page next clicked on page 2
131573,Fall24 DDM MS Form A,04/29/2025,10:42:09.215,Page 3 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:43:12.054,Page next clicked on page 3
131573,Fall24 DDM MS Form A,04/29/2025,10:43:14.242,Page 5 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:43:46.504,Page next clicked on page 5
131573,Fall24 DDM MS Form A,04/29/2025,10:43:48.310,Page 6 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:43:51.942,Page next clicked on page 6
131573,Fall24 DDM MS Form A,04/29/2025,10:43:52.762,Page 7 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:47:11.469,Page next clicked on page 7
131573,Fall24 DDM MS Form A,04/29/2025,10:47:13.783,Page 8 Loaded
131573,Fall24 DDM MS Form A,04/29/2025,10:49:28.158,Page next clicked on page 8
131573,Fall24 DDM MS Form A,04/29/2025,10:49:30.725,Page 9 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:11.356,Begin activity Spring 2025 MS DDM Administration
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:11.937,Page 1 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:18.758,Page next clicked on page 1
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:19.334,Page 2 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:52.256,Page next clicked on page 2
131364,Fall24 DDM MS Form Ar,05/13/2025,07:27:53.262,Page 3 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:28:28.340,Page next clicked on page 3
131364,Fall24 DDM MS Form Ar,05/13/2025,07:28:29.231,Missing answers
131364,Fall24 DDM MS Form Ar,05/13/2025,07:28:54.244,Page next clicked on page 3
131364,Fall24 DDM MS Form Ar,05/13/2025,07:28:56.619,Page 5 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:29:52.326,Page next clicked on page 5
131364,Fall24 DDM MS Form Ar,05/13/2025,07:29:53.747,Page 6 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:29:57.726,Page next clicked on page 6
131364,Fall24 DDM MS Form Ar,05/13/2025,07:29:58.283,Page 7 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:34:11.008,Page next clicked on page 7
131364,Fall24 DDM MS Form Ar,05/13/2025,07:34:12.242,Page 8 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:35:18.075,Page next clicked on page 8
131364,Fall24 DDM MS Form Ar,05/13/2025,07:35:19.608,Page 9 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:35:22.484,Page next clicked on page 9
131364,Fall24 DDM MS Form Ar,05/13/2025,07:35:23.021,Missing answers
131364,Fall24 DDM MS Form Ar,05/13/2025,07:37:46.182,Page next clicked on page 9
131364,Fall24 DDM MS Form Ar,05/13/2025,07:37:47.693,Page 10 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:40:29.035,Page next clicked on page 10
131364,Fall24 DDM MS Form Ar,05/13/2025,07:40:30.318,Page 11 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:41:34.795,Page next clicked on page 11
131364,Fall24 DDM MS Form Ar,05/13/2025,07:41:35.956,Page 12 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:42:40.448,Page next clicked on page 12
131364,Fall24 DDM MS Form Ar,05/13/2025,07:42:42.586,Page 13 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:00.881,Page next clicked on page 13
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:03.175,Page 14 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:11.788,Page next clicked on page 14
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:12.393,Page 15 Loaded
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:36.968,Page next clicked on page 15
131364,Fall24 DDM MS Form Ar,05/13/2025,07:43:40.440,End activity Spring 2025 MS DDM Administration
131369,Fall24 DDM MS Form A,05/13/2025,07:15:20.188,Begin activity Spring 2025 MS DDM Administration
131369,Fall24 DDM MS Form A,05/13/2025,07:15:20.740,Page 1 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:15:25.039,Page next clicked on page 1
131369,Fall24 DDM MS Form A,05/13/2025,07:15:25.635,Page 2 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:15:32.896,Page next clicked on page 2
131369,Fall24 DDM MS Form A,05/13/2025,07:15:33.081,Missing answers
131369,Fall24 DDM MS Form A,05/13/2025,07:15:41.643,Page next clicked on page 2
131369,Fall24 DDM MS Form A,05/13/2025,07:15:42.578,Page 3 Loaded
